sentence,emotion
i feel fucking infuriated seeing him ecstatic to be with her and seeing her unmatched feelings for him,anger
i feel blessed to be able to visit such a lovely place,joy
i feel jaded with landscapes or light effects i tackle figures and vice versa,sad
i feel he would have been and will be a terrific candidate and president but i was really disappointed last time that just a couple days after i made a donation mr,joy
i feel impatient,anger
i feel very petty and not very manly at all,anger
i just didn t feel very well,joy
i replied yes master he kept my collar tight and continued thrusting into me it was so painful by now that i was really feeling like i was being tortured i was holding my orgasm so tight that every thrust was agony,fear
i am training my son to be the opposite and when they are here they undo a lot of the work and i feel helpless in my own house,sad
i don t feel like the main reason i left was because i was homesick,sad
i feel for delicate little flowers attempting to sell the concept that they re action stars,love
i was feeling nostalgic this week so i raided the vaults so i hope you enjoy,love
i think it is advisable to have feeling of do it yourself really worth i not convinced will need to occur at the cost within your enjoyment,joy
i have said this before being a mom has made me feel more vulnerable than i have ever felt before,fear
i can no longer feel your love and presence your tender loving hugs and kisses,love
i didn t feel it was very sincere,joy
i left the gym feeling invigorated,joy
i feel like it is my fault although i know that this is just another casualty of the illness of the rotten physical circumstances i have fallen into,sad
i start to feel helpless before the power of evil that i see hear smell touch seemingly everywhere i go,fear
i suppose the song isnt bad but i have this horrible feeling that after awhile im going to get very irritated whenever it comes up on my ipod,anger
i feel now that anya is becoming restless,fear
i don t love pop culture but i feel isolated not knowing what duck dynasty means,sad
i feel very lucky,joy
ive been disregarded devalued or heartbroken or when i am between boyfriends and in need of someone to make me feel valued attractive loved and adored i have certain men i call,joy
i have no idea how i m going to feel from one moment to the next and week to week has been pretty out there too,joy
i am an earthman and you will feel ashamed demeaned and dirtied,sad
i am feeling deeply affectionate and appreciative of the little bible study group im part of,love
i have given several colleagues who asked me for free lance advice the same nudge ask for what you feel would make the job worthwhile i tell them,joy
i want this lady to feel welcomed and comfortable so i talk to her,joy
i feel violent or something today,anger
i feel like my beloved newcastle united who at the end of the season when they finished nd in the premier league were oh so close to winning the premier league title,love
i don t care if it scars but i know you do and it kills me to think of you feeling less handsome than you are,joy
ive been feeling about the divine miss o of late,joy
i feel burdened guilty and ugly when i am going through these times and have a difficult time getting back to focusing,sad
i think i am worthless therefore i feel insecure,fear
i feel so confused now,fear
i am in a room of strangers and its lunchtime it feels really weird to walk up to them and say lets go get some lunch,fear
i cut out all social media for a few weeks that feels very strange actually,suprise
i feel so horny to seduce this busty chick and try my dick between her awesome a href http www,love
im a literal person even when im feeling creative,joy
i suddenly feel the need for some morose faux vintage pre rock,sad
i going to feel that insecure self conscious eczema dread at not feeling good about myself at all but having to go out and celebrate when really i am just wishing my eczema would go,fear
i put him in the house in case she was feeling intimidated by him although he was tethered feet away from her and shes never ever been intimidated by him for even a second,fear
i am feeling a tad tender,love
i too have a very strong drive to exercise and feel it is a very vital part of me,joy
i admit i likely feel so strongly about this because i hear tragic stories on a daily basis,sad
i am feeling awfully romantic i thought i would look back at the couples who have inspired me new and old and pay tribute to their love which still moves me to believe i will find my own,love
i woke up this morning definitely a monday feeling groggy grumpy and totally unmotivated but i still put on the shred,sad
i feel aggravated exasperated exhausted dumbfounded and just flat out pissed off,anger
i can make it our project where he can join in and feel useful,joy
i am one step closer to healing and feeling sincere happiness,joy
i really felt i went away feeling terrible for the fans,sad
im a lucky year old girl who loves life and i feel so blessed for everything i have,love
i feel shaky and light headed around five pm realizing that wait a minute i have literally not had a single thing to eat yet today besides ellie janes animal cracker and im going to die this very instant call,fear
i already know about the people who died in the spiral staircase and the people who were killed in the basement but there is more to this feeling than that unpleasant twist to my stomach that i get whenever i m in a place where people have died horribly,sad
i am feeling loved up and exceptionally lucky is an understatement at the moment,love
i feel sorta sad that they are so young younger than me and not having more children just seems young,sad
i find myself pushing away those moments when i feel sad,sad
i do love my job and it is nice to feel productive in a more intellectual sense,joy
i can certainly understand that the world we live in wants me to feel gloomy because i m all alone beneath the mistletoe most likely because i m not doing my part to contribute to the excessive consumption orgy that christmas has become,sad
i just want my happy baby back i feel so terrible for him,sad
i feel like recently ive been over thinking things way too much and letting things get to me which i normally dont and i feel a lot more emotional and a little softer than i used to be apart from that thats all ive really noticed,sad
i would feel like a useless ass and the cycle would start all over again,sad
i feel surprised and then i feel angry,suprise
i jump in a taxi and find myself feeling strangely contented despite everything,joy
i can sympathize with some local craftspeople who feel unwelcome with the distinct type of crafts imported to these events,sad
i feel so blessed to have such an amazing close family who i know love me and are there for me no matter what,joy
i feel passionate that students should have choice in their reading and that it is my job to encourage a love of reading,love
i feel that this adventure has helped me become much more compassionate grounded and sure of myself and also have become very centered around my own self care and self love,love
i feel carefree heh d okay yup,joy
i don t get it you ate because you wanted the good sensation that eating provided the full feeling the delicious soporific effect that luscious hazy dreamy state that ice cream gave you and now you re going to put yourself through torture,joy
i might look back at this and it might have been a weird stage i was going through but even though im thinking differently it doesnt seem fake to me i legitimatly feel this way no matter how unsavory i see myself becoming,sad
i feel the smart money pain,joy
i feel like being slutty is the root of my problems but that is what i want sex and someone that cares,love
i spent most of my time feeling unloved and unaccepted,sad
i feel so isolated and misunderstood,sad
i do i really wanna do a good one and just have fun and not want my friends to feel weird and awkward,suprise
i was feeling not fabulous but knew i was getting close to the big descent and soon it would be all downhill from there,joy
i only started my essays weeks before the deadline that s because unfortunately i am the kind of writer who can only write when the feeling hits me because of my diva esque inspiration so i rushed my essays,anger
i feel so disgusted at a time and then the next moment i feel so terribly upset,anger
i really started to feel that the ica was an association worth supporting and maybe something that id enjoy being a part of,joy
i feel like i have a lot of artistic potential that i have never really been able to fulfill,joy
i dont love her more than i love joel but i am actually able to have these motherly feelings that i had missed,sad
i are somewhat newlyweds married for almost years not sure how long you can have that newlywed title we moved into our first home in and i feel like im still decorating and making it ours but im loving every minute of it,love
i am humbled by the requests to write about extremely personal and intimate subject matter i feel this letter will be useful to those who think i will champion any cause,joy
i write here strikes your fancy do feel free to e mail me at emberphoto at hotmail,joy
i think this is because i feel as if it is unimportant to be out with people or talk to people because it seems as if i have little to say that is interesting,sad
i recognized my work ground now and getting never try to manipulate feeling very like a as determined to make feeling and the certain her sincerity,joy
i feel these are commonly accepted expectations of society,joy
i dont sink into a major depression as the days grow shorter and winter settles in i do tend to feel a little melancholy from the time the leaves fall off the trees and baseball ends until about oh the macys thanksgiving parade,sad
i feel excited about the program shell be in,joy
i feel homesick its the best place to be,sad
i love beaches i love the sound of the waves the witnessing of the waves hitting the shore and being sent back again the taste of the air the feeling of the strong wind and the smell of sea,joy
i have thankful for being able to feel thankful after getting through hardship,joy
i feel so fucked because we are not out of the woods,anger
i feel emotionally abused,sad
im terrified and i feel regretful for all my actions,sad
i feel glad i was a part of her journey,joy
i had gone to the hospital for my research and got late in reaching home i feared that when i reached home there would be a quarrel because of my being late,fear
i spent my whole night feeling scared despite talking to one of my really good friends who could do little more than assure me that i had done the best that i could do and telling me youre twenty youre not equipped to deal with things like this yet,fear
i always use the shower gel and the body butter together but i feel the fragrance even though lovely is very short lived,love
i feel a bit insecure as i look at him cleanly shaved and hair clearly styled and the coat which seems a bit too much of a female fit but he seems to be comfortable in his own shoes while he catches me on the fact that i don t,fear
i feel weird asking them why because our friendship doesnt feel ready for that,fear
i remembered reading somewhere that many times when you are feeling grumpy or impatient during a workout it is because you are sugar deficient,anger
im feeling very clever because i think ive worked out what derivatives are and how they work,joy
im feeling pretty melancholy and i dont know why,sad
i feel so blessed to be living in normal life,joy
i don t work out i feel anxious,fear
i feel like a jackass always having some kind of criticsm or rather something smart to say,joy
i do not feel that i deserve it i am a rather irrascible stubborn sort of person in my basic make up and not the sort of cloth that saints are generally cut out of,anger
the person whom i liked most left me for a friend of mine,sad
i actually feel a touch homesick after seeing some of that scenery,sad
i also feel selfish for bringing children into this world at all because i truly believe it is headed straight to hell,anger
im really struggling with this part i dont like my voice im having trouble with the character i feel incredibly insecure,fear
im down but aside from that it feels very strange to be idle,fear
i really want this challenge to be a fun way for everyone to knock a few games off our backlogs without feeling pressured to reach any certain goals,fear
i want to start painting some walls in our house but i just feel so scared of choosing a terrible color,fear
i can shout and scream and save my family the pain of me getting on at them lol well try and save my family if you got any tips ideas or just want to moan then feel free to join in a class profile link href http www,joy
i am in the inquiry of what makes us sometimes feel threatened by another s perspective,fear
i feel a bit groggy and i am not really very energetic because of the side effects i am pretty pleased with the results so far,sad
i don t think my ex made me feel unimportant because he thought i wasn t important i suspect his behaviour came across like i wasn t important partly because i was and he didn t know how to deal with that and didn t want to have to deal with it,sad
i feel most radiant and life feels most effective,joy
i feel like the awkward outsider and start to feel homesick,sad
i then search the internet and email many artists i feel are talented and suited for the story and email previous artists i ve worked with in the past to see if any of them are possibly interested,joy
i started feeling hope but didnt want to be overly positive,joy
i feel about popular bible verses,joy
i stopped there because the whole thing was feeling shaky,fear
i have spotted in my gym that folk are battering the weights until they feel just like theyre going to throw up then tell everyone it is ok it is simply because i am pushing myself to the maximum,joy
i had ever seen and i smiled goofily back at him feeling how my blood rushed to my cheeks not because of embarrassment but because of the wave of naughty excitement which washed through me and made my heart beat so fast and hard that could feel every beat resonate in my lower body,anger
i know the effects of my day to day happenings on my serenity are so subtle at times that i end up feeling irritable and discontent without knowing why,anger
i feel like marilyn monroe im insecure yeah i make mistakes sometimes i feel like im at the end of the road i can get low i can get low dont know which way is up yeah i can get high i can get high like i could never come down call it a curse,fear
i can feel every inch on my body aching right now right at this moment,sad
i feel a little uptight because i have to really be conscious and careful about everything that happens,fear
i was able to pick him up from the airport that day which is nice because i feel that is more romantic that having him catch a taxi,love
i feel so contented now,joy
i feel like i m on the receiving end of a violent attack,anger
i always feel humiliated,sad
i didn t feel afraid i was made to feel different and unwelcome,fear
i was feeling a bit homesick and melancholy,sad
im busy feeling all shaken up by the unfortunate incident with our neighbors last night involving lots of drunken screaming and nonstop crying and then belligerence and ingratitude when we went downstairs to make sure everything was ok,fear
i know the tasks that feel so vital are not that important,joy
i wake up every morning and step foot onto soil of a country whose people have been conditioned to hate me wherever i go i can feel the eyes of those who find me vile ignorant filthy and disgusting,anger
i can live and breathe and feel as if i understand it is the beloved even if i question a hundred different things,joy
i feel much alarmed at the prospect of seeing general jackson president,fear
i am feeling a little sentimental today,sad
i feel everytime someone gets disappointed in me or gets annoyed that i ve done something they don t necessarily agree with i end up mentally promising myself to be different next time even though being different isn t being me,sad
i have learned to start saying that to myself without feeling vain or selfish,sad
im sure that each person has their own complex set of reasons for leaving and chalking it up to one reason or feeling like because they all hated academia is probably a little too simple,anger
i was beginning to feel lethargic from all the blood loss,sad
i do but still it makes me feel less pathetic,sad
i feel vulnerable and exposed but i have learnt that there is strength in vulnerability,fear
i have often told him that it is alright to tell the kids that he s tired and worn out and that he doesn t need to feel like every night needs to be devoted to them and they will understand,love
i have started my business officially and it feels wonderful,joy
i hug my niece when she is scared to make her feel safe,joy
i have a feeling the arungal administration wont be too keen of witnesses after the days events,joy
i train hard i feel valuable to myself,joy
i was going through the pain of losing that precious poison and also experiencing a completely new feeling of being hated by a very large number of the british public,sad
i should be able to function and not feel agitated when it has only been a few hours,anger
i was feeling really rebellious the other day so i ripped the do not remove tag from my new pillow,anger
i have a feeling i abuse them somewhat more than they are meant to be abused,sad
i am feeling all kinds of paranoid probably because i tend to go hypoglycemic if i don t eat several times per day,fear
i did and it makes me feel numb,sad
im always feeling so hurt amp betrayed by my own love ones,sad
i feel so passionate about birthing options and am so upset with the way they treated me and my daughter that its a surprise that my month old daughter and i arent picketing their office every day,joy
i know how my parents and siblings are feeling when my uncle come my house everytime cos he makes me feel irritated at times too with his always drunken state,anger
i feel at the moment longing to proclaim all that god has done wanting to tell everyone how he has done mighty things i will come and proclaim your mighty acts sovereign lord i will proclaim your righteous deeds yours alone,love
i xi returns to keep a show temple more want to more feel feel suspicious,fear
i start to feel a little dissatisfied,anger
i read the stuff can make you energetic so i have decided to take just one capsule a day for now to see how it makes me feel so far i don t feel so energetic but then i have been up since a,joy
i feel like i am being punished for hurting myself when i am hurting myself to try and stay afloat but theres no use no use no use the boats have all left or are leaving the water is freezing im numb im blue im helpless,sad
ive also been a bit out of sorts the last few weeks feeling unhappy that my professional life isnt really going anywhere yet unable to do anything about it because the needs of my family restrict my ability to look for paid work other than freelancing,sad
im feeling highly paranoid,fear
i think about it that way i don t feel so frustrated,anger
i have a feeling i ran into you on doa and thats the reason why you are having a jolly time ragging on liebchen,joy
i feel assaulted when i step out of a building and the air outside wraps itself around me like a wet rag,fear
i went through period of initial shock to the period of not quite understanding or admitting the situation to the moments when i even forgot about it for a short time until i physically started to feel miserable,sad
i usually go with a but sometimes b is fun when im feeling rebellious,anger
i feel that our decision to wait a little longer is a smart one,joy
i feel like i talk about xavier too much but i just really like that program and what they do year after year and i really really like tu holloway although i liked him better when he went by terrell,love
im the one who feels embarrassed,sad
i feel this is a valuable way for everyone to share what is important to them and why,joy
i am fighting with all my might to not feel defeated from the sinus allergy situation,sad
i feel vy dazed,suprise
i stood there in horror feeling totally alone and defenseless,sad
im feeling kind of optimistic after seeing they have been marked off,joy
im glad my darling cares for my feelings and i care for his and im glad we can communicate and understand each other so well,joy
i feel shocked right through with the both of you its no problem of mine but its a problem i find living a life that i cant leave behind,suprise
tv features showing the violation of defenceless people,anger
i am feeling miserable he will often prepare his own dinners but then i feel guilty,sad
i need to feel blog productive enough,joy
i have things that are making me feel stressed,anger
i feel it just makes me look flawless,joy
i didn t really feel the benefit if any so that was unsuccessful,sad
i have decided that while genetic modification is probably wrong i feel it would be completely acceptable if someone genetically modified turkeys such that their body cavities were bigger to allow more stuffing to be shoved inside,joy
i am beginning to feel how lovely i am accept this and feel that i am more than enough no matter where i am what i have done who is with me or what is going on around me,love
i feel passionate about having a leader retreat,love
i feel unloved and stupid and meh sometimes,sad
i can feel i am thrilled and filled this sensation,joy
i realized that he even had to control my thoughts and feelings i knew i was being emotionally abused and must get out,sad
i feel stupid sometimes but these ridiculous people take the cake,sad
i assumed as i always do that somehow it would work out but after a failed first days with classes in german that seemed out of my reach i remember feeling scared,fear
ive struggled with the guilt i feel about going which makes me reluctant to go,fear
i was at the beach the thought of a busy beach and picking up litter amongst groups of people started to make me feel a bit apprehensive and i almost changed my mind,fear
im glad i no longer feel doomed to be a single old lady,sad
i gotta tell you it feels terrific,joy
i ask of all of you that read my blog is to continue to sign my guest book with whatever you think will cheer me up because i am definitely feeling a little defeated,sad
i feel so graceful when thinking that unthinkable,joy
i usually feel dirty from traveling when im back home but this time i felt dirty from the city,sad
i feel that reverence of god is vital to a healthy walk with him,joy
when i was young,anger
i have been feeling gloomy and stressed,sad
i feel so helpless w o my polishes lol,fear
i feel like the dj game isn t respected the way it was years ago because everybody s a dj now everybody wants to be a dj or think they are a dj because you can play a song but a lot of dj s can t motivate a crowd or know what song to play at certain times,joy
i know how it feels to live in america and feel politically ignored and i m glad that i don t have to feel that way anymore,sad
i am feeling weird and feel wanna know,fear
i feel like this student is being punished for improving,sad
i was feeling sad and trapped in my apartment i didnt really feel safe going out at night without a reliable way home and i got to the stage where i realised the only one who could help me was god you would think i would have figured this out faster than weeks turns out i was a little slow,sad
i say i never want to feel this idiotic anguish again,sad
i have tried a few and usually followed them for a week or maybe two if i was feeling especially determined but eventually the fit just wasn t right and i shifted back in to my normal routine of simply running,joy
i find myself whinging about the temperature every day at the moment but it does feel ridiculously hot,love
im still feeling pretty shitty this week hence mostly eating produce because so many things are just too much,sad
im human too but if itll make you feel cool to point out the typos and errors ive no doubt made while writing this blog knock yourself out,joy
i feel oh so glamorous looking super fabulous sometimes im insecure something i cant ignore all the flashing cameras try my best to handle it im just the girl next door i can hear the rumors take all,joy
i feel this kind of clubs is not accepted by all of the many people,joy
i know ill never be sad never hurt never want never feel stress of pressured or fear,fear
i think sitting for a bit had made me feel cold too,anger
i wasn t feeling particularly fond of going out but we had an awesome dinner italian of course,love
im pretty sure he did just to make me feel awful that i couldnt make it feel better for him okay so not really but its how i was feeling,sad
i trust him no longer when he saying i m beautiful because obviously he needs to look at another naked women to feel good,joy
i feel always frantic when it gets so close by,fear
i guess this comes from feeling a little on the end of worthless these days,sad
im focusing on my o levels this year and im feeling rather depressed about the fact that im such an idiot haha,sad
i have a feeling my room at college will be pretty messy when i first settle in,sad
i can do anything feeling utterly amp completely worthless the next,sad
i made my way to the front of the stage feeling a little bashful,fear
i am feeling very thankful today,joy
i feel dirty at the sheer possibility of orally pronouncing my wishes for the universe to hear,sad
i didn t feel to clever yesterday with a hangover the size of a planet and couldn t eat my rather nice sunday roast that we went for,joy
i never felt valued as a man and went away feeling discouraged and condemned,sad
i am so lucky and fortunate and feel really appreciative for them right now,joy
i used a white runner down the center table to give the table a clean pristine feel above is the gorgeous light fixture which has details of hanging crystal,joy
i still found my self feeling restless inside,fear
i feel irritated more than feeling challenged p s since im done with my weird fact about me plan i shall post only when i have another fact to share,anger
i feel like i am so fucked up in the head that i am beyond help,anger
i sa neid m letad i feel proud of you for staying with me for those last couple of years,joy
i feel like if we must share the air then smokers must be considerate and smoke only in desolate places where the closest non smokers around are at least a mile a way,love
i feel more lost than i ever was before,sad
i have a feeling it s going to be the most fabulous concert of the year,joy
id had a friend from my hometown to stay for the weekend and when they left i couldnt face going to the studio couldnt see the point of painting i was feeling homesick and sorry for myself,sad
i feel so lame because i know a lot of you are professional at it im looking at you a href http brissalaura,sad
im starting to feel that among my friends my beloved and i are the only ones not to have a philcon report post,joy
i feel especially lucky for the creative opportunities i have been given in the past year and the wonderful support of my friends peers family and delight by design readers as i pursued those opportunities particularly the launch of a href http blairfriedeman,joy
i now have real experience and yet it feels very strange,suprise
i have to try to let go of these feelings already deeper than they should be and i m not sure exactly how,joy
i don t dislike them but it feels like there are things you can t say around them because they re successful,joy
i was feeling a little snacky today and was kind of craving something sweet,love
i feel so blessed,joy
ive seen the older movies so i may just be imagining it but this feels a lot more family friendly than the others,joy
i don t watch it and feel like i need to be a junky i watch it and it makes me feel like i don t have to be perfect or have everything together to be loved to feel free,joy
i can already feel the shitty feeling u get when u cant solve a single qns in a math paper,sad
i need you to feel cause everyday i fall harder for you i m afraid i just might get hurt my back really hurts love,fear
i feel like being greedy this year,anger
i feel about something and go with it and i always liked that phrase kings and thieves quite a bit,love
i feel un welcomed at all,joy
i sisters were fantastic it was their first in a series of christmas shows and we left feeling very very festive,joy
i feel outraged by some people who justify it by saying that it is to discipline them so they need to hit the kids,anger
i feel just a little bit helpless,sad
i feel you have wronged me in some way,anger
i should be able to settle down and feel less uptight after that,fear
i have had experiences where i don t ever want to see or talk to the person who said inappropriate things to me simply because i feel utterly uncomfortable in his presence,fear
i can laugh at quite a bit of it now and feel ok about some of it but that was only after deciding that i had to not let it get to me and sort the shit out,joy
i feel in my pistol has me relieved feeling prepared and ready for most altercations that may arise,joy
ive been working on my resume and portfolio pretty intensely for a couple of weeks and im finally feeling like its acceptable,joy
i feel so blessed that god has given me the wisdom to train them in how to help and be a part of our household,joy
i apologize if youre still reading youre practically a saint in my eyes but i just thought that there might be someone out there who was feeling a little depressed this summer and not sure about what to do with themselves,sad
i must be getting sappier in my old age but the radiolab podcasts regularly leave me feeling weepy,sad
i didnt feel as if it was rushed at any one moment or alternately that scenes occurrences couldve happened over a lengthier time,anger
i feel foolish and used,sad
i could feel the gentle breeze through the window and although i suspected the sun would make an appearance sometime in the day clouds were still keeping her in bed,love
im typing this post im becoming excited about the changes instead of dreading them and feeling gloomy as i was earlier,sad
i am feeling very disheartened and sad at the state of our life and i wonder a lot of the time if it wouldn t be better if mackenzie amp i just left and went out on our own instead,sad
i have a feeling this is going to be a long process but i am excited to see what kinds of results we get,joy
i have to run every day to get new papers and when i get back home i feel so depressed i dont want to talk to george or to any of my friends and i have my family making me feel much worse,sad
i feel when i share with people that i have stagnated that i have in fact gone backwards i feel like people are reluctant to chide me because i have come so far,fear
i feel suspicious about it,fear
i continue to succeed in something and having someone seems unattainable because i feel men will be intimidated or when there is a prolonged moment of silence,fear
i am feeling a bit more brave i think another cut will be happening soon,joy
i pointed out feeling clever,joy
i feel unsure what is proper to write what is proper to leave off,fear
i hate acoustic guitar boys yet i love this moment on film because it feels so innocent and real,joy
i have spent the majority of my life trying to change how i look in order to feel accepted by others to feel loved by other to feel better than people around me because in my mind my physicality is the only thing that i have to offer,love
i have a feeling you are but i dont even think god is perfect and you act more righteous than he would,joy
i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,anger
i feel intellectually superior to them,joy
i havent written in awhile havent been feeling so hot,love
im feeling a bit smug that im actually looking forward to using the exercise bike which we left on kantara,joy
i feel like the post unsuccessful ivf cycle often feels like cleaning up after a war,sad
i feel bad for not updating this page,sad
i do feel like my soul has a longing for mongolia,love
i think it just wasn t the right family for me and i didn t feel comfortable anymore,joy
i feel that they deserve to be more respected that way,joy
i feel im just going to be hated by more and more people,sad
i would love to run against for my region and i feel that i could be successful at but time is running short and i am not quite sure even if that would be successful,joy
i remember feeling somewhat calm too which surprised me,joy
i can shut the book exit the cinema with a smile and feeling contented,joy
i really have mixed feelings on syf being over im glad that syfs over but theres this tugging feeling in my heart because it really means that our rgssb journey is nearly over,joy
i say i tend to feel passionate about making the world a better place,joy
i permitted to feel just a little virtuous for eating nuts even if theyre covered in sugar,joy
i already feel sleep deprived and short on time but if i really want to become a person that i can be proud of i need to start investing and stop paying the minimum amount on my credit card,sad
im feeling rather perverse i snagged this icon from the latest get fuzzy cartoon,sad
i feel nothing on my lips and the colours are amazing,suprise
i have been feeling tender of late partially because it breaks my heart to hear of adoptees being frozen out by their natural families and partially because i am back to the dangerous job of hunting my own doubts about my nfamily the ones that hide in the shadows like wolves,love
i was still coughing and generally feeling pretty crappy,sad
i just want them to hug and drink beer together and for neither of them to feel tortured at the same time,anger
i was feeling a bit homesick so i made a last minute trip over to broomfield the weekend of the th to the nd,sad
i wasnt hurt at all while thinking all of these stuff i actually feel relieved whenever i think about it,joy
i am or have been feeling rather melancholy a personal tragedy and a loss of a love and a question that rocked my core over an issue i thought set in stone,sad
i finally slept properly for the first time yesterday and i slept from about am to pm and still managed to wake up feeling shitty,sad
i feel sad and i couldnt bring my mood up,sad
im feeling doubtful about the pairing i reread this and fall in love with it all over again,fear
i took our dog libby out for a long walk yesterday and there is so much to see hear and feel i love trees and their wonderful energy and i came across one with a heart on its trunk which makes so much sense to me,joy
i feel like my heart broke telling my children she continued,sad
i refuse to feel guilty,sad
im going to share about my thoughts and feelings the things i wonder the things i am curious about the questions that i needed answers,suprise
i said before it is such a delicate topic i even feel unsure about ever posting this as i am writing this up but i just want to encourage you strongly to start questioning more,fear
i feel as though i should be saying something more intelligent but really its in the morning and im not really that smart,joy
i feel that the eager souls in us wanted to know what next,joy
i had acknowledged these negative feelings and nipped them in the bud or accepted them depending on their validity then life probably would have been easier for me,joy
i feel like i have gone from not really caring what happens next to trying to plan every faction of my life and its really annoying haha so im not going to write with any structure big words etc etc,love
i usually feel inadequate worthless,sad
i enjoyed the sections set in the offices where prudence feels herself rather superior to her co workers with their quiet gossip and constant clock watching,joy
i feel like im actually doomed,sad
during interrailtrip,joy
i am yet to experience that it gets hard to narrow down where to go and for the artists once its empty they feel disheartened,sad
i feel kind of badly for going today because i think it was too hot,love
i feel god calling me there and if he wills it i ll be a priest for him and the rest of the faithful,joy
i was feeling rather melancholy this evening and just did a search on google why are friendships so hard,sad
i began feeling that she was more virtuous than i because she said her family is all she needs,joy
i feel ecstatic because i played this role on the west end for a year took it to the o arena for the th anniversary and now to the film it kind of feels surreal to have had three different experiences of this wonderfully iconic role,joy
i remember feeling a little distressed when i hopped on my bike and felt as though i were riding through molasses,fear
i sleep late lay around entertain a year old sometimes hang out with people often feel extraordinarily irritable and generally dont do much,anger
im feeling very discouraged,sad
i cant do anything to prevent that or to help them thats i would say is when i feel helpless and sad,fear
i feel lonely is visiting me,sad
i often get the feeling be people are rather fake and over friendly,sad
i have not conducted a survey but it is quite likely that many of them feel as assaulted by onel s demons and other creators as i would have felt had the walls been covered only with eminent figures patriotic heroes and epic deeds,fear
i could feel my moms presence and my friends and family were supporting me that day,joy
i feel about he whose name means beloved,love
i feel pretty co host sherry,joy
i feel unloved,sad
i feel as though i can see my nipples etc through tshirts much more than before and im feeling really paranoid that im starting to look like i have little moobs,fear
i feel i will be in a safe place surrounded by people who love me and will support me and help me get through each day,joy
i know how to swim and ive lived near oceans for a lot of my life so i feel very confident but most of my swimming recently has been floating and the occasional doggie paddle,joy
i disdain and feel superior to the other,joy
i like riding in this though i had to sit on the floor because im able to feel the cool breeze the best tuk tuk we wrote was on fridays night where the guy actually charged us like and also hes really young and friendly,joy
i feel like a selfish jerk even writing those words i know that i am a better parent wife daughter and friend if i get time to myself every day,anger
i was feeling grouchy and the old man has mentioned that retail therapy is great,anger
i still feel shaky sometimes and i still have the random aches and pains associated with my sad sneakies those dreadful moments where life is going well and then all of a sudden you see or hear or smell something that reminds you of your loss and sends you into a spiral,fear
ive been trying to avoid ive since learnt to be less self conscious now that i have to manage and lead a team of writers but i hate to admit that i still feel dissatisfied and inadequate,anger
i simply pop some on throughout the day if im feeling a little bit stressed and it just sort of reminds me to concentrate on staying calm and collected for a little while,anger
i feel like i am constantly bombarded by these strong thoughts feelings and urges and to fight struggle and try to suppress them or get rid of them does nothing but make them come back even stronger the next time round,joy
i wasnt feeling miserable,sad
i would give up my puppy for some unknown submissive is so completely absurd that i feel insulted it was even thought of,anger
i had been going to a spiritual healer on and off for some time and while i did feel that that was helping i was still unhappy and reclusive,sad
i feel for them but i am convinced they are just there for the shelter,joy
i have a feeling that im forgetting how much i hated homework other than writing papers which i lived for because i am an abnormal human,anger
i feel i have isolated myself from so many friends and let my work colleagues down too many times for them to not start thinking theres a problem,sad
i should have some minimum expectations for every trait especially those i feel are really useful,joy
i was feeling disturbed and edgy the entire night,sad
i have to admit that i do not feel scared anymore what has to happen will happen,fear
i amateur anal foot feel rude for not foot joining her after we got back to her place,anger
i feel as if alone i really am,sad
i feel disadvantaged without my education,sad
i like to prepare myself for our friday encounters with plenty of coffee and some deep breathing so im already feeling quite agitated as i tiptoe towards the oprah room where hes sitting on the sofa and talking to someone on the phone,anger
i feel them near supporting on the way,love
i understand but i feel like i hated my friends,anger
i still feel insecure about how i look it takes time,fear
i feel intimidated by them and their developing brains and bodies,fear
i find myself feeling bitter at people for saying certain stuff or doing certain things i always ask god why i feel this way,anger
i also felt like the counseling sessions themselves seemed to stir up my mental state and overwhelming me making me feel even more defeated,sad
i began the day feeling intimidated courthouses are designed to intimidate but ended the day cheerfully chatting with the judge in his chambers,fear
i cant feel the way i did before dont turn your back on me i wont be ignored time wont heal this damage anymore dont turn your back on me i wont be ignored,sad
i actually feel a little lame for not even coming close,sad
i am excited to share my passion with people who feel passionate about the same things,joy
i feel glamorous and happy,joy
i just feel like a whiney snob,sad
i just feel like this band will be more respected ten years from now when people finally figure out what we re really doing,joy
im not sure where this will go but i promise i will stop if it starts to feel too weepy,sad
i feel really peaceful and relaxed about going into labor and honestly at this point i am looking forward to the relief,joy
i feel less stressed and at the end of the day usually discover that ive done more,anger
i feel so paranoid when i leave the house without it,fear
i have many memories of this place to me it has a kind of strange feeling peaceful but slightly creepy half remembered stories passed down warning signs and safe boxes dumped in ditches,joy
i wasnt feeling funny at all so i um wasnt funny at all,suprise
i just feel like i should be devastated but the truth is,sad
i told her that since my previous appointment i cut myself as i was feeling so distressed,fear
ive been feeling a little gloomy since i got back from a href http dolceevitaa,sad
ill admit to feeling a bit impatient during bits of tyrions and daenerys early chapters anxious to get to more plot heavy parts,anger
i also feel that i am not afraid like others to speak from my own informed judgement without a conscience guide and without the approval of others,fear
i feel almost assaulted after too much exposure to the intensity of a crowd or even just the particular focus of one person though generally speaking i actually enjoy company meeting new people,sad
i feel more relaxed just typing that,joy
i feel brave and strong when im with them,joy
